Method_A,Method_B,Mean_A,Mean_B,Delta,W_stat,p_value,Stars
CIBICA,3C-FBI,0.8969,0.8958,0.0011,4651.0,0.2564762185444309,ns
CIBICA,RHT,0.8969,0.811,0.0859,168.0,7.109719657920439e-24,***
CIBICA,RCD,0.8969,0.8601,0.0368,1100.0,2.0946871636168379e-16,***
CIBICA,RFCA,0.8969,0.8895,0.0074,3791.0,0.004373833647528942,**
CIBICA,Nurunnabi,0.8969,0.8397,0.0571,485.0,3.621473574503391e-21,***
CIBICA,Guo,0.8969,0.8088,0.0881,408.0,8.263075014585188e-22,***
CIBICA,Greco,0.8969,0.8963,0.0006,4674.0,0.27620230191647865,ns
CIBICA,Qi,0.8969,0.8956,0.0013,4650.0,0.2556413385133972,ns
3C-FBI,RHT,0.8958,0.811,0.0848,84.0,1.2756146784613435e-24,***
3C-FBI,RCD,0.8958,0.8601,0.0357,1118.0,2.823478819677794e-16,***
3C-FBI,RFCA,0.8958,0.8895,0.0063,4189.0,0.03977019352425087,*
3C-FBI,Nurunnabi,0.8958,0.8397,0.056,479.0,3.2303041000803395e-21,***
3C-FBI,Guo,0.8958,0.8088,0.087,367.0,3.726478126968109e-22,***
3C-FBI,Greco,0.8958,0.8963,-0.0005,4880.0,0.49773142984926544,ns
3C-FBI,Qi,0.8958,0.8956,0.0002,4898.0,0.5207653907447992,ns
RHT,RCD,0.811,0.8601,-0.0491,260.0,4.520556470494573e-23,***
RHT,RFCA,0.811,0.8895,-0.0785,66.0,8.795542720294894e-25,***
RHT,Nurunnabi,0.811,0.8397,-0.0287,1847.0,1.7344818763187e-11,***
RHT,Guo,0.811,0.8088,0.0022,4902.0,0.5259576118245263,ns
RHT,Greco,0.811,0.8963,-0.0853,75.0,1.0594010557756665e-24,***
RHT,Qi,0.811,0.8956,-0.0846,94.0,1.5673938037465452e-24,***
RCD,RFCA,0.8601,0.8895,-0.0294,1101.0,2.1297924533884522e-16,***
RCD,Nurunnabi,0.8601,0.8397,0.0203,3097.0,2.2966463490043336e-05,***
RCD,Guo,0.8601,0.8088,0.0513,2149.0,9.096374031092071e-10,***
RCD,Greco,0.8601,0.8963,-0.0362,1139.0,3.9935873792070975e-16,***
RCD,Qi,0.8601,0.8956,-0.0355,1159.0,5.54719037944361e-16,***
RFCA,Nurunnabi,0.8895,0.8397,0.0497,123.0,2.842105529145769e-24,***
RFCA,Guo,0.8895,0.8088,0.0807,227.0,2.3372389011089508e-23,***
RFCA,Greco,0.8895,0.8963,-0.0068,3979.0,0.013326162500608618,*
RFCA,Qi,0.8895,0.8956,-0.0061,4253.0,0.05379391158258426,ns
Nurunnabi,Guo,0.8397,0.8088,0.0309,2024.0,1.844047226951965e-10,***
Nurunnabi,Greco,0.8397,0.8963,-0.0565,424.0,1.1254474740876913e-21,***
Nurunnabi,Qi,0.8397,0.8956,-0.0558,451.0,1.891331108279552e-21,***
Guo,Greco,0.8088,0.8963,-0.0875,393.0,6.1794117536115205e-22,***
Guo,Qi,0.8088,0.8956,-0.0868,388.0,5.607855232522341e-22,***
Greco,Qi,0.8963,0.8956,0.0007,4968.0,0.6152703427750752,ns
