config,mean_Jaccard_CIBICA,mean_Jaccard_HOUGH,mean_Jaccard_RHT,mean_Jaccard_RCD,mean_Jaccard_QI
GL70,0.8811088761384939,0.8123605462161368,0.7934415108960992,0.8340828901710178,0.8739612717108224
GL72,0.8857560565646136,0.8123605462161368,0.8014461366528522,0.8437302726613485,0.8775798024736559
GL74,0.8879448808874434,0.8123605462161368,0.800310590864395,0.8501748870369221,0.8827496155409951
GL76,0.8958905482090989,0.8123605462161368,0.8063256485061729,0.8526787446915076,0.8874699420591495
GL78,0.8975353767334943,0.8123605462161368,0.8068813283421719,0.8572422519158623,0.8913009524633004
GL80,0.8983276008263156,0.8123605462161368,0.8101154325687089,0.8622490228407068,0.8957306868328817
GL82,0.9000359783927006,0.8123605462161368,0.8122016423757694,0.8596758735111956,0.8950869060133851
GL84,0.8982889483703637,0.8123605462161368,0.8071119535806969,0.8662306990318904,0.8958651008227942
GL86,0.8873343568585809,0.8123605462161368,0.8106952775425282,0.8577412209268217,0.8924683317284712
Med3,0.7921259099896539,0.8123605462161368,0.740048480382199,0.7708620394891317,0.8026845408769263
Med5,0.8333098147586354,0.8123605462161368,0.7682675932276936,0.8091678378098089,0.8390170528329419
Med7,0.8664316776759521,0.8123605462161368,0.790028797096536,0.8461735108083561,0.8665020612268974
Med9,0.8760119896601326,0.8123605462161368,0.8073065733011221,0.8556852200084497,0.8718221184344548
Med11,0.8707041706441774,0.8123605462161368,0.8179892479007536,0.8586261343645738,0.8609582467179622
Med13,0.843860662150779,0.8123605462161368,0.8086584083977123,0.8347008263364057,0.8376665234933915
Med15,0.7982046995559909,0.8123605462161368,0.7793479897582407,0.7839078801364089,0.7927026711905074
Med17,0.7470423870338897,0.8123605462161368,0.7329797714905062,0.7474706711476637,0.7370200230008024
Med19,0.6791849652689176,0.8123605462161368,0.6631155874826731,0.6705234009601969,0.6687859005544574
